trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
47,False,"{'a': 0.65, 'e': 0.631283645506926}",25,7,-40.92172354581436,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.65, 'e': 0.6250022682827008}",20,0,-26.21161122129755,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.65, 'e': 0.6187833918061408}",30,0,-133.31229343773973,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.65, 'e': 0.6126263941844161}",30,0,-65.3521491766217,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
51,False,"{'a': 0.65, 'e': 0.6065306597126334}",20,8,19.371428782957494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.65, 'e': 0.6004955788122659}",30,0,-36.093660351754494,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.65, 'e': 0.5945205479701944}",25,0,-129.3466144651058,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
54,False,"{'a': 0.65, 'e': 0.5886049696783552}",20,10,-1.8242109857880155,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.65, 'e': 0.5827482523739896}",20,0,-80.12754821909604,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.65, 'e': 0.5769498103804866}",25,3,-58.408055835151295,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
57,False,"{'a': 0.65, 'e': 0.5712090638488149}",20,0,-46.475873540219894,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
58,False,"{'a': 0.65, 'e': 0.5655254386995371}",25,16,-26.649941127164887,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.65, 'e': 0.559898366565402}",20,0,-24.850296640102208,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.65, 'e': 0.5543272847345071}",25,0,-111.85396569580307,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.65, 'e': 0.5488116360940265}",20,0,-112.9825735491501,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.65, 'e': 0.5433508690744998}",30,0,-34.47649919424705,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",1
